115隐私政策,PC0,
本《115隐私政策》(以下简称“本政策”)旨在向你阐明，你在使用115服务的过程中，115科技是如何收集、使用和保护你的信息,PC0,
在使用115服务前，请你务必审慎阅读、充分理解本政策,PC0,
为了改善产品，满足用户新的需求，115科技会持续增加和改善产品功能，因此115科技需要知道每个产品功能的使用量，即有多少用户在使用这个产品功能，以便115科技能够对每个产品功能的重要性做出正确的判断,PC0,
请你了解：115科技为产品功能实现与运行安全稳定而自研的SDK不属于前述第三方SDK，而其申请调用你的设备权限、获取你的相关信息的情况已经在115隐私政策中结合产品功能进行说明，因而不在此列,PC0,
115科技会尽到审慎义务，努力保障你的信息安全，尽可能及时更新并向你说明115科技所接入第三方SDK的最新情况,PC0,
但也请你理解：115科技所接入的第三方SDK提供方未及时主动向115科技告知或未被115科技检测出存在调用你的设备权限、获取你的相关信息的情况，可能会被认为不涉及你的个人信息的收集，因而不在此列明,PC0,
您知悉并理解，注销账号的行为是不可逆的行为，当您注销账号后，我们将删除有关您的相关信息或进行匿名化处理，但法律法规另有规定的除外,PC0,
十、定义,PC0,
个人信息：指以电子或者其他方式记录的能够单独或者与其他信息结合识别特定自然人身份或者反映特定自然人活动情况的各种信息,PC0,
个人信息包括姓名、出生日期、身份证件号码、个人生物识别信息、住址、通信通讯联系方式、通信记录和内容、账号密码、财产信息、征信信息、行踪轨迹、住宿信息、健康生理信息、交易信息等,PC0,
我们希望通过本隐私政策向您说明，在使用360影视时，我们如何收集、使用、存储、分享和转让您的个人信息，以及我们为您提供的访问、更新、删除和保护这些信息的方式,PC0,
为了最大程度保障您的信息安全，我们强烈建议您在使用任何第三方SDK类服务前先行查看其隐私条款,PC0,
为保障您的合法权益，如您发现这等SDK或其他类似的应用程序存在风险时，建议您立即终止相关操作并及时与我们取得联系；,PC0,
如有疑似非本人登录操作的情况，我们将通过短信提醒用户，避免360影视账户被非本人登录操作,PC0,
在您使用360影视期间，您可以通过以下方式访问并管理您的个人信息：,PC0,
当我们从服务器中删除您的个人信息后，我们可能不会立即从备份系统中删除相应的数据，但会在备份更新的时候删除这些信息,PC0,
我们深知个人信息对用户的重要性，也深知为用户的个人信息提供有效保护是我们业务健康可持续发展的基石,PC0,
如对本政策内容有任何疑问、意见或建议，您可通过本隐私政策提供的各种联系方式与我们联系,PC0,
同时，您亦可通过观看我们为您提供的本隐私政策的讲解视频，帮助您更好地理解本隐私政策的下述内容,PC0,
我们没有通过共享、转让、搜集公开信息的其他渠道间接获取相关您的个人信息,PC0,
上述信息仅会在手机本地进行处理，不会上传到360服务器,PC0,
上述软件信息为实现这些功能所必需，不涉及您个人身份等敏感信息，也不包括您使用这些软件所产生的任何相关数据（例如软件的存档、文档、图片等）,PC0,
0.1为保障公司业务发展，网易公司保留随时变更、中断或终止提供CC直播客户端（软件）产品及相关各项服务（包括收费网络服务）而不需通知用户的权利,PC0,
用户接受网易公司行使变更、中断或终止提供CC直播客户端（软件）产品及相关各项服务的权利，网易公司不需对用户或第三方负责,PC0,
11、责任限制,PC0,
11.1用户使用CC直播或通过CC直播所发布的任何内容、传递的任何观点不代表网易公司的观点或政策，网易公司亦不对其完整性、真实性、准确性及可靠性负责,PC0,
用户在使用CC直播的过程中应遵守法律法规及政策规定，并对自身使用CC直播而产生的任何行为、任何后果承担全部责任，包括但不限于：用户应对自己通过CC直播发布、公开的信息，及对由此产生的任何后果承担全部责任；用户应对CC直播中任何第三方所发布的信息内容自行加以判断，并承担因使用该信息内容而引起的所有风险，包括因对内容的正确性、完整性或实用性的依赖而产生的风险等,PC0,
11.2用户理解并同意自主选择下载和／或使用CC直播和所有与CC直播一同提供或通过CC直播提供的第三方软件，风险自负，并且对于因下载或使用CC直播和此类第三方软件而对计算机系统及/或任何智能系统造成的损坏或数据的丢失，用户应承担全部责任,PC0,
11.3在适用法律允许的最大范围内，网易公司明确表示不提供任何其他类型的保证，不论明示的或默示的，包括但不限于适销性、适用性、可靠性、稳定性、准确性、完整性、无病毒以及无错误的任何默示保证和责任,PC0,
